,title,singer,albumName,score,lyrics,youtube
28,모든 날 모든 순간 (Every day Every Moment),폴킴,`키스 먼저 할까요?` OST Part.3,275,"어떻게 보면 참
전쟁 같았다 우리
행복한 나날의
수만큼 아프게 했던
날들도 많았고
울렸던 날도 많았어
길었던 시간을 지켜줬던 
너야

너를 너무 사랑해서
그게 멀어지게 한 걸까
어리숙한 내 잘못인가 
  
사랑이 식었다고
솔직히 말해도 돼
가슴 뛰는 설렘이
네게
온 거라고 나보다
좋은 사람이
너에게 생긴 거라고 

다른 핑계겠지
우린 안 맞는다고
질리게 들었어 
네 맘이 떠나간 후로
혹시나 우리가
괜찮은 시절에 만나
잘해줬다면은 
우리 조금은 다를까

너를 너무 사랑해서
그게 멀어지게 한 걸까
철이 없는 내 욕심인가
 
사랑이 식었다고
솔직히 말해도 돼
가슴 뛰는 설렘이
네게
온 거라고 나보다
좋은 사람이
너에게 생긴 거라고 

아침이 까맣도록 취해
잊으려 날 망가뜨려도 
남아 있는 너 

나보다 더 어디 가
좋아서 떠난 거니
인정하려 해봐도
미워
내가 좀 더 잘나서
성공할 때쯤
네 앞에 서 볼게
그때 넌 홀로이기를",https://www.youtube.com/results?search_query=%EB%AA%A8%EB%93%A0+%EB%82%A0+%EB%AA%A8%EB%93%A0+%EC%88%9C%EA%B0%84+%28Every+day+Every+Moment%29
29,기억해줘요 내 모든 날과 그때를,거미,호텔 델루나 OST Part.7,273,"기다리지 않기로 했잖아 
울지 않을 거라고 그랬잖아 
너무 늦은 밤이야 
오 너무 긴 이별이야

잠시만 더 이렇게 있을까
그래 잊혀져 버릴 꿈이지만
눈을 감아 마지막
잠을 재워 줄게 

My lullaby 
Baby sweet goodnight
무서운 꿈은 없을 거야
너의 끝나지 않는 긴긴 하루를
이제는 그만 보내주렴 음

가만히 끌어안고 있을까
어느 사이 끝나 가는 꿈이지만
마음 놓아 마지막 노랠 불러 줄게

My lullaby baby
Sweet good night
무서운 꿈은 없을 거야
너의 끝나지 않는 긴긴 슬픔을
이제는 그만 보내 주렴

잠들지 못해
지친 숨소리가 잦아들 때까지
소란한 너의 밤을 지킬게

I’ll be nearby
Baby sweet goodnight
항상 네 곁에 있을 거야
더 만날 수 없는 지난날들도
이제는 그만 놓아 주렴

My edelweiss 
Baby sweet good bye
모두 잊어도 돼
다 괜찮아 괜찮아 놓아",https://www.youtube.com/results?search_query=%EA%B8%B0%EC%96%B5%ED%95%B4%EC%A4%98%EC%9A%94+%EB%82%B4+%EB%AA%A8%EB%93%A0+%EB%82%A0%EA%B3%BC+%EA%B7%B8%EB%95%8C%EB%A5%BC
30,자장가,아이유,Love poem,271,"너를 만난 그 이후로
사소한 변화들에 행복해져
눈이 부시게 빛 나는 아침
너를 떠올리며 눈 뜨는 하루
식탁 위에 마주 앉아
너의 하루는 어땠는지 묻거나
나의 하루도 썩 괜찮았어
웃으며 대답해 주고 싶어
별것 아닌 일에 맘이 통할 때면
익숙해진 서로가 놀라웠어
널 사랑해
평온한 지금처럼만
영원하고 싶다고
너를 바라보다 생각했어
너를 만나 참 행복했어
나 이토록 사랑할 수 있었던 건
아직 어리고 모자란 내 맘
따뜻한 이해로 다 안아줘서 
무심한 말투에 서로 아플 때면
차가워진 사이가
견딜 수 없어 미안해
불안한 지금이라도
영원하고 싶다고
너를 바라보다 생각했어
너를 만나 참 행복했어
나 이토록 사랑할 수 있었던 건
아직 어리고 모자란 내 맘
따뜻한 이해로 다 안아줘서
뜨거웠던 여름 지나
그리워질 빗소리에
하나 둘 수줍어 또 얼굴 붉히면
생각이 많아진 너의 눈에 입 맞출 테니
우리 함께 걸어가기로 해
나를 만나 너도 행복하니
못 해준 게 더 많아서 미안해
이기적이고 불안한 내가
너에게만은 잘하고 싶었어
오랫동안 나 기다려온
완벽한 사랑을 찾은 것 같아
날 잡아줘서 힘이 돼줘서
소중한 배려로 날 안아줘서
너를 만나",https://www.youtube.com/results?search_query=%EC%9E%90%EC%9E%A5%EA%B0%80
31,Alone,Crush,From Midnight To Sunrise,268,"햇살이 좋았던 그 날
그만하자며 말을 하는 너
전혀 믿어지지가 않아
지금 이순간 모든 시간이 멈춘 듯

어떤 말을 해야할지
어떤 표정 지어야할지
아무것도 생각나지를 않아

솔직하게 말해서 나 
헤어질 자신이 없어
괜찮은 척 웃으며 널
보내줄 자신이 난 없어

네가 없는 내 하루,
하루도 생각한 적 없는데
나보다 나를 니가 더 잘 알면서

마지막 인사를 하며
멀어져가는 너를 보며
아무것도 할수있는 게 없어

솔직하게 말해서 나 
헤어질 자신이 없어
괜찮은 척 웃으며 널
보내줄 자신이 난 없어

네가 없는 내 하루,
하루도 생각한 적 없는데
나보다 나를 니가 더 잘 알면서

이별앞에 서 있는 너의 눈에 비춰진
애써 웃는 내 모습이 
나를 더욱 아프게만해

솔직하게 말할게 나
헤어지고 싶지 않아
너 없이 나 혼자서
지낼 자신이 난 없어

네가 없는 내 하루 하루도
견딜수가 없는데
나보다 네가 먼저였던 날
나보다 나를 니가 더 잘 알면서",https://www.youtube.com/results?search_query=Alone
32,"Into the Unknown (From ""Frozen 2""/Soundtrack Version)",Idina Menzel& Aurora,Frozen 2 (Original Motion Picture Soundtrack/Deluxe Edition),266,"'뭐해?'라는 두 글자에
'네가 보고 싶어’ 나의 속마음을 담아 우
이모티콘 하나하나 속에
달라지는 내 미묘한 심리를 알까 우

아니 바쁘지 않아 nothing no no 
잠들어 있지 않아 insomnia nia nia
지금 다른 사람과 함께이지 않아
응, 나도 너를 생각 중

우리의 네모 칸은 bloom
엄지손가락으로 장미꽃을 피워 
향기에 취할 것 같아 우
오직 둘만의 비밀의 정원

I feel bloom I feel bloom I feel bloom
너에게 한 송이를 더 보내

밤샘 작업으로 업데이트
흥미로운 이 작품의 지은이 that’s me 우
어쩜 이 관계의 클라이맥스
2막으로 넘어가기엔 
지금이 good timing 우

같은 맘인 걸 알아 realize la lize
말을 고르지 말아 just reply la la ly
조금 장난스러운 나의 은유에
네 해석이 궁금해 

우리의 색은 gray and blue 
엄지손가락으로 말풍선을 띄워
금세 터질 것 같아 우
호흡이 가빠져 어지러워

I feel blue. I feel blue. I feel blue.
너에게 가득히 채워 

띄어쓰기없이보낼게사랑인것같애
백만송이장미꽃을, 나랑피워볼래?
꽃잎의 색은 우리 마음 가는 대로 칠해
시들 때도 예쁘게

우리의 네모 칸은 bloom
엄지손가락으로 장미꽃을 피워 
향기에 취할 것 같아 우
오직 둘만의 비밀의 정원

I feel bloom I feel bloom I feel bloom
너에게 한 송이를 더 보내",https://www.youtube.com/results?search_query=Into+the+Unknown+%28From+%22Frozen+2%22%2FSoundtrack+Version%29
33,워커홀릭,볼빨간사춘기,Two Five,266,"I love it
when you call me senorita
I wish I could pretend
I didn't need ya
But every touch is ooo la la la
it's true la la la
ooo i should be running
ooo you keep me coming for ya
land in Miami
the air was hot from summer rain
sweat dripping off me
before I even knew
her name la la la
it felt like ooo la la la
yeah no
sapphire moonlight
we danced for hours in the sand
tequila sunrise
her body fit right
in my hands la la la
it felt like ooo la la la yeah
I love it
when you call me senorita
I wish I could pretend
I didn't need ya
But every touch is ooo la la la
it's true la la la
ooo i should be running
ooo you know I love it
when you call me senorita
I wish it wasn't so damn
hard to leave ya
But every touch is ooo la la la
It's true la la la
ooo i should be running
ooo you keep me coming for ya
Locked in the hotel
there's just somethings
that never change
You say that we're just friends
but friends don't know the way you
taste la la la
'cause you know
it's been a long time coming
don't you let me fall
ooh when your lips undress me
hooked on your tongue
ooh love your kiss is deadly
don't stop
I love it
when you call me senorita
I wish I could pretend
I didn't need ya
But every touch is ooo la la la
it's true la la la
ooo i should be running
ooo you know I love it
when you call me senorita
I wish it wasn't so damn
hard to leave ya
but every touch is ooo la la la
it's true la la la
ooo I should be running
ooo you keep me coming for ya
All along I've been coming for ya
and I hope it meant
something to ya
call my name
I'll be coming for ya
coming for ya coming for ya
coming for you
for ya ooh she loves it
when I come
for ya
ooo I should be running
ooo you keep me coming for ya",https://www.youtube.com/results?search_query=%EC%9B%8C%EC%BB%A4%ED%99%80%EB%A6%AD
34,Snowman,Sia,Everyday Is Christmas (Deluxe),257,"White shirt now red, my bloody nose
Sleepin', you're on your tippy toes
Creepin' around like no one knows
Think you're so criminal
Bruises on both my knees for you
Don't say thank you or please
I do what I want when I'm wanting to
My soul so cynical

So you're a tough guy
Like it really rough guy
Just can't get enough guy
Chest always so puffed guy
I'm that bad type
Make your mama sad type
Make your girlfriend mad tight
Might seduce your dad type
I'm the bad guy, duh

I'm the bad guy

I like it when you take control
Even if you know that you don't
Own me, I'll let you play the role
I'll be your animal
My mommy likes to sing along with me
But she won't sing this song
If she reads all the lyrics
She'll pity the men I know

So you're a tough guy
Like it really rough guy
Just can't get enough guy
Chest always so puffed guy
I'm that bad type
Make your mama sad type
Make your girlfriend mad tight
Might seduce your dad type
I'm the bad guy, duh

I'm the bad guy, duh
I'm only good at bein' bad, bad

I like when you get mad
I guess I'm pretty glad
that you're alone
You said she's scared of me?
I mean, I don't see what she sees
But maybe it's
'cause I'm wearing your cologne

I'm a bad guy
I'm a bad guy
Bad guy, bad guy
I'm a bad",https://www.youtube.com/results?search_query=Snowman
35,작은 것들을 위한 시 (Boy With Luv) feat. Halsey,방탄소년단,MAP OF THE SOUL : PERSONA,254,"듣고있나요 나의 이 모든 얘기를 
그댈 향한 내 깊은 진심을 
 
매일 그리움 속에 그대를 불러보지만
닿을 수 없는 마음을 나도 이젠 알 것 같아요
 
내 안의 그대를 놓을 수 없네요
애써도 그게 잘 안돼요 
 
마음과 반대로 밀어내려 할수록 
이토록 더 아파지네요 

기억하나요 나의 이 모든 얘기를 
그댈 향한 내 깊은 진심을 
 
매일 그리움 속에 그대를 불러보지만
닿을 수 없는 마음을 나도 이젠 알 것 같아요
 
스쳐가는 이 계절을 지나
언젠가는 멀어질 걸 아니까
 
더 모질게 그댈 밀어냈어요 너무
가슴이 미칠 듯 아파도
 
듣고 있나요 나의 이 모든 얘기를 
그댈 향한 내 깊은 진심을 
 
매일 그리움 속에 그대를 불러보지만
닿을 수 없는 마음을 나도 이젠 알 것 같아요
 
아무 이유 없이 눈물 나는 날에는 
그댈 찾아가고 있네요 이렇게 
 
기억해줘요 내 모든 날과 그때를 
지울수록 선명해지니까
 
가슴 아프겠지만 그대를 보내야 해요 
나를 기억해주세요 나 그대만 사랑했음을",https://www.youtube.com/results?search_query=%EC%9E%91%EC%9D%80+%EA%B2%83%EB%93%A4%EC%9D%84+%EC%9C%84%ED%95%9C+%EC%8B%9C+%28Boy+With+Luv%29+feat.+Halsey
36,허전해,폴킴,정규 2집 '마음 하나',254,"가을밤 떠난 너
그런 너를 기다리는 나
그 계절은 다시 돌아
너를 생각나게 해
사랑한다고
기다린다고
전해달라고 이런 내 맘
차가운 밤 향기에
쓸쓸해지는 이 밤

잘 지내고 있니 넌 바쁜 거 같더라
가끔 니 소식을 들어 이젠
아무렇지 않은 척 괜찮다 해도
사실 혼자 많이 울었어

음 니가 보고 싶은 밤
울컥해지는 밤
잠 못 이루는 밤
시간만 더디게 가 

가을밤 떠난 너
그런 너를 기다리는 나
그 계절은 다시 돌아
너를 생각나게 해
사랑한다고 기다린다고
전해달라고 이런 내 맘
차가운 밤 향기에
쓸쓸해지는 이 밤

미안해 이 말 한마디면 충분한데
뭐가 그리 어렵던지 우리
그때 내가 얼마나 못났었는지
정말 지독하게 미웠어

음 니가 보고 싶어져
수없이 참아도
걷잡을 수 없이
부쩍 커버린 내 맘

우리가 얼마나 행복하고 좋았었는데
넌 이 모든 추억들을
지우고 살 수 있니 
사랑한다고 좋아한다고
못다 한 말들이 많다고
너에게 줄 마음이 아직 남아있다고

여전히 나
기다린다고 
한 번만 돌아오라고
지나간 시간 속에
아직 멈춰있다고

가을밤 떠난 너
이제 홀로 서 있네",https://www.youtube.com/results?search_query=%ED%97%88%EC%A0%84%ED%95%B4
37,"Show Yourself (From ""Frozen 2""/Soundtrack Version)",Idina Menzel& Evan Rachel Wood,Frozen 2 (Original Motion Picture Soundtrack/Deluxe Edition),251,"010-5236-3219 
지금 이 번호로 전화해줘
같았던 우리의 뒷번호처럼 
내 맘 그대로야 전화해줘

어느 늦은 밤 모르는 번호에 
밤새 잠 못 이뤄 뒤척이며
혹시 너일까 하는 내 마음에 
눈물로 꾹꾹 눌러보지만

Call me back Call me back 
지금 이 번호로 전화해줘
Call me back Call me back 
내 맘 그대로야 전화해줘
아직 사랑한다고 많이 보고 싶다고 
너의 전화를 기다리는 내게
Call me back Baby Call me back

네가 보냈던 마지막 문자에 
밤새 몇 번이고 후회하며
그땐 너에게 미안한 마음에 
눈물로 꾹꾹 눌러보지만

Call me back Call me back 
지금 이 번호로 전화해줘
Call me back Call me back 
내 맘 그대로야 전화해줘
아직 사랑한다고 많이 보고 싶다고 
너의 전화를 기다리는 내게
Call me back Baby Call me back

너와 내 추억이 울릴 때마다 
다시 내 맘을 울려

아직 사랑한다고 사랑한다고 
단 하루도 잊지 못한 내게
아직 너만 기다리는 내게

Call me back Call me back 
지금 이 번호로 전화해줘
Baby Call me back Call me back
제발 잊지 말고 전화해줘 
Baby Call me back Call me back 
지금 이 번호로 전화해줘",https://www.youtube.com/results?search_query=Show+Yourself+%28From+%22Frozen+2%22%2FSoundtrack+Version%29
38,헤어진 우리가 지켜야 할 것들,김나영& 양다일,헤어진 우리가 지켜야 할 것들,250,"여기 내 머릿속에
스위치 같은
그런 게 있음 좋겠어
눈을 감듯 널 꺼놓게

매일 숨을 쉬듯이
널 사랑했던
나쁜 버릇은 어떡해야
고쳐질까

알아 쉽진 않겠지
한동안 생각날 테고
행여나 울더라도
흔들리진 말자

혹시 내 전화를 기다리거나
취해서 집 앞을 찾아오는 일 안 돼
실수로라도 내 생각 따윈 절대 안 돼
안 돼 안 돼

너 혹시 내 사진을 찾아보거나
나 몰래 내 소식을 검색하는 일 안 돼
이젠 안 돼 우린 안 돼 너와 나
더는 해선 안 되는 일

우릴 알던 누군가 (너를 만나)
스치듯 나의 안불 묻더라도
웃음으로 (웃음으로)
받아줄 수 있길

혹시 내 전화를 기다리거나
취해서 집 앞을 찾아오는 일 안 돼
실수로라도 내 생각 따윈 절대 안 돼
안 돼 안 돼

너 혹시 내 사진을 찾아보거나
나 몰래 내 소식을 검색하는 일 안 돼
이젠 안 돼 우린 안 돼 너와 나

잘 한 건진 모르지만
후회할지 모르지만
소리 없이 흐르는 눈물을 잡고 안녕

우리들의 수많은 기념일과
서로의 이름 목소리까지도
자고 나면 모두 다 잊는 거야
모든 걸 잊고 떠나는 거야

널 사랑했지만
보고 싶겠지만
오늘 이후로 우린 없는 거야
아무 일도 아닌 듯이
아무 일도 없던 듯이",https://www.youtube.com/results?search_query=%ED%97%A4%EC%96%B4%EC%A7%84+%EC%9A%B0%EB%A6%AC%EA%B0%80+%EC%A7%80%EC%BC%9C%EC%95%BC+%ED%95%A0+%EA%B2%83%EB%93%A4
39,차가워진 이 바람엔 우리가 써있어(Bad Love),HYNN (박혜원),차가워진 이 바람엔 우리가 써있어(Bad Love),249,"Love in the dark
Hey Twilight

추운 겨울이 와도
내 눈 속에는 꽃이 피나 봐
첫눈에 알아본 걸까
첫사랑처럼 두근대니까

날 보면 무슨 생각
무슨 느낌 그댄 어떤지
때론 알 수 없는 그 무표정

솔직히 말을 하면 표현해줘 돌리지 말고
하늘의 별을 잇듯 나에게 오는 길 
어둠 속 더욱더 우리 선명해지길

잠 못 드는 밤 밤이 새도록
그대와 나 단둘이만 얘기하고파
가지고 싶어 서둘러줘요
해뜨기 전에

날 보러 와요
그대 발걸음 소리
내 마음이 설레고 있는 걸 아나요
날 보러 와요
나를 찾는 목소리
한걸음에 그대에게 달려가요
날 보러 와요

Whoo A A A A A Twilight 
T Twilight
T Twilight
날 보러 와요

Whoo A A A A A Twilight 
T Twilight
어서 빨리 내게 와요

밤이 길어지듯이
그리움들도 깊어지나 봐

밤새 춤을 춰줘요 내 방 어느새
파랑 빛으로 물이 들어요
밤새 눈을 맞춰줘 Baby
노을빛 너무 설레어 Baby

잠 못 드는 밤 밤이 새도록
그대와 나 단둘이만 얘기하고파
가지고 싶어 서둘러줘요
해뜨기 전에

날 보러 와요
그대 발걸음 소리 
내 마음이 설레고 있는 걸 아나요
날 보러 와요
나를 찾는 목소리
한걸음에 그대에게 달려가요
날 보러 와요

Whoo A A A A A Twilight 
T Twilight
T Twilight
날 보러 와요

Whoo A A A A A Twilight 
T Twilight
어서 빨리 내게 와요

Twilight 너와 나의
은밀하게 좀 더 비밀스럽게
Love in the dark night 
보여줄래 내 맘 빛이 나는 순간
오늘 밤이 가기 전에

날 보러 와요
지금 꽉 안아줘요 
내 눈빛이 떨리고 있는 걸 아나요
날 보러 와요
내 맘 다 알잖아요
한걸음에 나에게로 달려와요
날 보러 와요

Whoo A A A A A Twilight 
T Twilight
T Twilight
날 보러 와요

Whoo A A A A A Twilight 
T Twilight
어서 빨리 내게 와요",https://www.youtube.com/results?search_query=%EC%B0%A8%EA%B0%80%EC%9B%8C%EC%A7%84+%EC%9D%B4+%EB%B0%94%EB%9E%8C%EC%97%94+%EC%9A%B0%EB%A6%AC%EA%B0%80+%EC%8D%A8%EC%9E%88%EC%96%B4%28Bad+Love%29
40,아마두 (feat.우원재 김효은 넉살 Huckleberry P),염따,Dingo X DAMOIM (Part 2),248,"어 그래 얘들아
사는게 개같지?
응 내 얼굴도 개같지 뭐얌
근데도 부자가 됐다
세상은 공평한 법
열심히 하는 자에겐
성공이 올 것이다 빠끄
내년엔 잘될거야 아마두
택배가 도착할 걸 아마두
여친이 생길거야 아마두
민수도 잘될거야 아마두
동갑인 차살거야 아마두
팔로는 애낳을거야 아마두
머리가 자랄거야 상구두
기석인 모르겠어 하나두
나도 진짜 모르겠어
뭐할지 당장에 오늘도 내일도
매해 목표는 무조건 새 앨범
설레발은 놉 그 놈의 앨범 모드
하나만 더 내고 단콘에 월드 투어
계획만 짜다 드러눕는 버릇도
고치고 싶다 주둥이만 터는 놈
잠을 더 자려면 돈을 덜 버는 것뿐
엄마 결혼은 기대도 마
나는 즐기면서 살고 있고
건강 검진 혼자 받는 건 싫은데
같이 갈 다모임 손
골프나 치러 댕길래
우리 그게 첫번째 위시리스트
받은 사랑을 제대로 베풀고 싶어 Officially
I got that guap 바뀐 내 겨울 잠바
미안해 이제 사과해 그전에 죽인 산타는
어릴 적 들은 Good times과
콰형의 1 life 2 live
상구형의 양화 그리고 기석형
믹스테입 그때의 파마
강동에 살아
스케이트보드 타러 간
지하 주차장에서 쫓겨났어
가방엔
필카 두 개 라카 두어 개 홍대는 내 도화지
Uh 많이 변했네
더 좋을 거야 아마두
새 캘린더 꺼내 올해도 가네
내 또래 84 rappers 참 오래도 가네
다음엔 광수 상수 껴 다들 바쁘지만
내 안 고독방 셔터는
2년째 안 내려가네 Yeah
자 노를 저어 강물 따라 이젠 바닷물
난 깨고 있어 내 인생의 미션 하나 둘
반지하에서 35평 한강 뷰
반지도 샀어 장가가겠지 아마두
다가올 내일을 향해 Smile
멈추기엔 시간이 아까워
Damoim comin to town
내년에는 보다 나은 우리가 돼있기를 빌어
너희도 잘될거야 Get em yea
지나간 날은 뒤로 어깰 펴고 고갤 위로
What's up noisemaster
세상에 사랑을 나누기 위해서 모인 이 Masters
받은 만큼돌려 주는 게 이 남자들의 Finessin
Shoutout to dingo
헉피 넉살 우원재 효은이 Thank yall
내년엔 다들 더 잘될거야
아마두
택배가 도착할 걸 아마두
여친이 생길거야 아마두
민수도 잘될거야 아마두
동갑인 차살거야 아마두
팔로는 애낳을거야 아마두
머리가 자랄거야 상구두
기석인 모르겠어 하나두
너를 사랑할 것같아 아마두
너가 나를 떠나버릴지도 (버릴지도)
돌아오지 않아 너라는 눈은
계절이 한 번 더 변해도 (내후년도)
우 우 우 우
자기야 이 순간 너를 위해 부르잖아 워 워
망가져 버려도 좋아 타 버리자 이대로
빨간불은 파란불로 바뀌어 웃어 하하호호
걱정해봤자 뭐 답 없어 잃지 말자 낭만을
Positive vibe 전파 올해 꼬였대도 No prob
성장한 거야 뒤돌아보면 안줏거리고 영웅담
태어난 건 내 선택 아니었지만 삶은 내꺼지
뭐 어쩔 건데 누가 뭐래도 첫 번째 내 행복이
이걸 나눌 수 있단 사실이
내면을 부자로 만들지
날씬 추워도 마음은 따뜻해
멋진 친구가 많으니
돈 Call me 잘 될 줄 알았음
염따형 앨범 Featuring
할 걸 그랬어 할머니는 천국에 잘 계셔
크리스마스 크리스마스 Feels like love
이 모든 게 우연일까
26일이 기일인 이유도 Oh oh
33번째 겨울 따뜻하니 돈 좀 벌었다고 No
사람들이 있어 이건 주머니에 넣지 못한다고
오늘이 가면 1월이지
내년엔 어떤 모습 희망이 기다리지
믿음이 있길 이끼는 끼지 않게
구르는 돈이 되길
저 애들을 봐 온 동네 구경이라도 난 듯
이 노래를 기다리네
이제 안 해도 될 것같네 작두
나 빼고 가서 좋았니? 물론 좋았겠지 대만
딩고 놈들은 또 날 불러 지들 필요할 때만
여튼 12월에도 연말 느낌은 없지
왜냠 올림픽홀에서 하는 분신 준비 때문이지
이 기분을 아는 사람은 박재범뿐이지
돈 많이 벌어서 나도 벤틀리 한 번 뿌시리
아마두
택배가 도착할 걸 아마두
여친이 생길거야 아마두
민수도 잘될거야 아마두
동갑인 차살거야 아마두
팔로는 애낳을거야 아마두
머리가 자랄거야 상구두
기석인 모르겠어 하나두
효은이는 웃을거야 아마두
산타가 없대 원재가 그랬음
넉살아 술좀그만 말아주
헉피는 행복할 걸 아마두
딩고도 고생했어 아마두
해식인 영화감독 아마두
일등을 할것같아 아마두
안되면 쨀것같아 아마두
우 우 우 우
(야 우리 그냥 쨀래?)",https://www.youtube.com/results?search_query=%EC%95%84%EB%A7%88%EB%91%90+%28feat.%EC%9A%B0%EC%9B%90%EC%9E%AC+%EA%B9%80%ED%9A%A8%EC%9D%80+%EB%84%89%EC%82%B4+Huckleberry+P%29
41,사랑에 연습이 있었다면 (Prod. 2soo),임재현,사랑에 연습이 있었다면,247,"Babe good morning oh yeah
이제 일어나야 할 시간이야
아침 햇살이 너를 반겨줄 시간이야
Morning coffee 한 잔과 
마르지 않은 머리가
하루의 시작을 알리고 있어
차가운 도시의 출근길 
어쩔 땐 버겁기도 하지 
내가 힘이 되어 줄게 
Wake up wake up wake up 
next to you 
Wake up wake up wake up 
next to you 
Wake up wake up wake up 
next to you 
Wake up wake up wake up 

악몽에 젖어 깼을 때
그래 그 때 그럴 때
세상은 때 탄 하얀색
그래 그 때 그럴 때
Morning coffee 한 잔과
우리 둘 만의 노래가
괜찮을 거라 말하고 있어
Hold on tight
Look at my eyes
거친 파도가 잠잠해지게 

Wake up wake up wake up 
next to you 
Wake up wake up wake up 
next to you 
Wake up wake up wake up 
next to you 
Wake up wake up wake up 

매일 아침을 속삭여 줄게
늦은 아침에 속삭여 줄게 
매일 아침에 널 깨워 줄게 
내일 아침도 널 깨워 줄게",https://www.youtube.com/results?search_query=%EC%82%AC%EB%9E%91%EC%97%90+%EC%97%B0%EC%8A%B5%EC%9D%B4+%EC%9E%88%EC%97%88%EB%8B%A4%EB%A9%B4+%28Prod.+2soo%29
42,니 소식,송하예,니 소식,246,"Ooh I’m a lion I’m a queen 아무도
그래 Ooh 날 가둘 수 없어 아픔도

붉은 태양 아래 Fire
파랗게 타는 Flower
미지근한 너의 애를 태우게
살짝 드러내는 Sharp claw
달아오르는 상처
발자국은 내 왕관을 맴돌게

난 나의 눈을 가리고 이 음악에 몸을 맡기고
뻔한 리듬을 망치고 사자의 춤을 바치고
넌 나의 눈을 살피고 이 음악에 몸이 말리고
뜨거운 리듬에 갇히고 사자에 춤을 바치고

It looks like a lion
I’m a queen like a lion
It looks like a lion
I’m a queen like a lion

그 강인한 울음은 너의 발을 내게 돌려
이 넓은 황야 속 크고 단단한 씨를 뿌려
그 웅장한 부름은 너의 맘을 내게 돌려
이 깊은 바닷속까지 거친 멜로딜 꽂아

더 탐을 내지 말어 자릴 지키는 Lion
때로는 사나워 질지 모르니
이제 환호의 음을 높여
모두 고개를 올려
어린 사자의 왕관을 씌우니

난 나의 눈을 가리고 이 음악에 몸을 맡기고
뻔한 리듬을 망치고 사자의 춤을 바치고
넌 나의 눈을 살피고 이 음악에 몸이 말리고
뜨거운 리듬에 갇히고 사자에 춤을 바치고

It looks like a lion
I’m a queen like a lion
It looks like a lion
I’m a queen like a lion

쓸데없는 예의 따윈 물어뜯어
편견이란 답답한 우리는 무너뜨려
감히 또 누가 날 막고 또 누가 날 조종해
조심해 다듬지 못한 발톱으로
아무도 가본 적이 없는 개척하는 길
뻔해 빠진 꼰대들은 혀를 차던 짓
그걸 해내고서야 받는 박수는 
더 짜릿한 맛이지
그걸 맛봤고 이제 부정할 수 없어 
I’m a queen

It looks like a lion
I’m a queen like a lion
It looks like a lion
I’m a queen like a lion

Ooh I’m a lion I’m a queen 아무도
그래 Ooh 길들일 수 없어 사랑도",https://www.youtube.com/results?search_query=%EB%8B%88+%EC%86%8C%EC%8B%9D
43,포장마차,황인욱,포장마차,244,"그 사람 돌아보지 않아요 
사랑에 약속하지 않고요
매일을 춤추듯이 살아서
한순간도 그에게 눈 뗄 수 없었나 봐요 

그 사람 부끄러워 않아요
쉬운 농담에 쉬이 웃지 않고요
그러다 한 번 웃어 주면
아, 난 어쩌지 못하고 밤새 몸달아 했어요

오 날 살게 하던 총명한 말 마디마디
겨우 미워해 봐도 잊혀지진 않네요 

발자국 하나 안 두고
어디로 바삐 떠나셨나요 

Why do i still love you
Why do i sing about you 
Why do i still wait for you 
Sing about you say love you
Baby i love you
Why i love you why you

오 날 덥게 하던 
따뜻한 손 마디마디 
애써 밀어내 봐도 떨쳐지지 않아요 

그림자 한 뼘 안 주고 
어찌 숨 가삐 떠나셨나요 

그 사람 마주친 적 있나요
여전히 그렇게 그 던가요
지금쯤 어디서 어느 누구, 어떤 음악에
고고히 춤추고 있을까요 

Why do i still love you
Why do i sing about you
Why do i still wait for you 
Sing about you Say love you 
Baby i love you
why i love you why you",https://www.youtube.com/results?search_query=%ED%8F%AC%EC%9E%A5%EB%A7%88%EC%B0%A8
44,미리 메리 크리스마스 (Feat. 천둥 Of MBLAQ),아이유,Real,243,"인스타로 몰래 보는 너의 하루들
누가 봐도 헤어진 티를 내
팔로우 다 끊고서 좋아요는 왜 눌렀니
참 바보 같은 사람이야

잘 먹지도 못하는 술은 왜 매일 마시고
늘 예쁜 얼굴 많이 야위었어

혼자 있으면 나도 그래
술이 없으면 못 자고 많이 괴로워해
이럴 거면 우리 미친 척하고 다시 만날까 봐
다시 시작할까 봐

친구들 만나는 거 그렇게 좋아하면서
집에만 있니 더 우울하게

혼자 있으면 나도 그래
누구도 만나기 싫어 숨고만 싶은데
이럴 거면 우리 미친 척하고 다시 만날까 봐
다시 시작할까 봐

못 잊을 거야 너와 추억한 지난날들을
난 아직까지도 너무나 선명해
그렇게 선명한 만큼 지키고픈 우리 기억들이
잊혀지는 게 정말 많이 두려워

혼자 있으면 나도 그래
늘 혼자 센척했지만 많이 두려워해
이럴 거면 우리 미친 척하고 다시 만날까 봐
다시 시작할까 봐

우리 여기서 끝나면 안 돼",https://www.youtube.com/results?search_query=%EB%AF%B8%EB%A6%AC+%EB%A9%94%EB%A6%AC+%ED%81%AC%EB%A6%AC%EC%8A%A4%EB%A7%88%EC%8A%A4+%28Feat.+%EC%B2%9C%EB%91%A5+Of+MBLAQ%29
